Code,Team
NOR,McLaren
VER,Red Bull Racing
RUS,Mercedes
ANT,Mercedes
ALB,Williams
STR,Aston Martin
HUL,Kick Sauber
LEC,Ferrari
PIA,McLaren
HAM,Ferrari
GAS,Alpine
OCO,Haas
BEA,Haas
BOR,Kick Sauber
ALO,Aston Martin
SAI,Williams
HAD,Racing Bulls
TSU,Red Bull Racing
LAW,Racing Bulls
COL,Alpine
